Date,P(t-1),P(t),T_max(t-1),T_max(t),T_min(t-1),T_min(t),Q(t-2),Q(t-1),Q(t),Q(t+1)
2001-03-31,82.173,64.114,22.65428571,21.95,10.07321429,9.498387097,21.07,20.76,20.45,36.41
2001-04-30,64.114,75.216,21.95,18.46233333,9.498387097,7.417333333,20.76,20.45,36.41,23.59
2001-05-31,75.216,16.696,18.46233333,17.47064516,7.417333333,3.625483871,20.45,36.41,23.59,0.96
2001-06-30,16.696,3.134,17.47064516,15.104,3.625483871,-0.423666667,36.41,23.59,0.96,0.71
2001-07-31,3.134,11.817,15.104,13.92709677,-0.423666667,-0.455806452,23.59,0.96,0.71,3.91
2001-08-31,11.817,64.0,13.92709677,17.44387097,-0.455806452,2.604516129,0.96,0.71,3.91,27.77
2001-09-30,64.0,95.38,17.44387097,18.36566667,2.604516129,3.784666667,0.71,3.91,27.77,27.29
2001-10-31,95.38,88.414,18.36566667,22.1383871,3.784666667,8.216451613,3.91,27.77,27.29,49.58
2001-11-30,88.414,109.381,22.1383871,21.41733333,8.216451613,9.684,27.77,27.29,49.58,36.28
2001-12-31,109.381,117.751,21.41733333,22.99129032,9.684,9.901935484,27.29,49.58,36.28,37.89
2002-01-31,117.751,105.078,22.99129032,23.64419355,9.901935484,11.01387097,49.58,36.28,37.89,15.99
2002-02-28,105.078,34.759,23.64419355,23.71892857,11.01387097,10.38142857,36.28,37.89,15.99,4.02
2002-03-31,34.759,41.78,23.71892857,23.07387097,10.38142857,9.88516129,37.89,15.99,4.02,7.34
2002-04-30,41.78,54.727,23.07387097,21.36133333,9.88516129,6.69,15.99,4.02,7.34,3.14
2002-05-31,54.727,37.846,21.36133333,17.42806452,6.69,3.891290323,4.02,7.34,3.14,7.53
2002-06-30,37.846,31.54,17.42806452,13.48533333,3.891290323,-0.28,7.34,3.14,7.53,1.4
2002-07-31,31.54,7.263,13.48533333,13.97516129,-0.28,-1.322903226,3.14,7.53,1.4,37.82
2002-08-31,7.263,80.446,13.97516129,16.72483871,-1.322903226,2.981935484,7.53,1.4,37.82,31.78
2002-09-30,80.446,57.904,16.72483871,18.96066667,2.981935484,5.650666667,1.4,37.82,31.78,3.05
2002-10-31,57.904,41.198,18.96066667,22.91290323,5.650666667,8.107419355,37.82,31.78,3.05,5.86
2002-11-30,41.198,40.207,22.91290323,21.984,8.107419355,7.904,31.78,3.05,5.86,32.31
2002-12-31,40.207,115.446,21.984,23.14064516,7.904,10.44645161,3.05,5.86,32.31,16.01
2003-01-31,115.446,86.685,23.14064516,24.92451613,10.44645161,11.24709677,5.86,32.31,16.01,12.61
2003-02-28,86.685,73.89,24.92451613,25.28464286,11.24709677,12.185,32.31,16.01,12.61,14.16
2003-03-31,73.89,119.211,25.28464286,23.33129032,12.185,9.034193548,16.01,12.61,14.16,4.04
2003-04-30,119.211,59.812,23.33129032,21.88133333,9.034193548,7.501333333,12.61,14.16,4.04,1.01
2003-05-31,59.812,10.615,21.88133333,17.44096774,7.501333333,1.986129032,14.16,4.04,1.01,0.54
2003-06-30,10.615,4.194,17.44096774,14.13166667,1.986129032,-2.671666667,4.04,1.01,0.54,0.33
2003-07-31,4.194,3.602,14.13166667,14.97032258,-2.671666667,-1.960967742,1.01,0.54,0.33,0.96
2003-08-31,3.602,31.772,14.97032258,15.00258065,-1.960967742,-1.078387097,0.54,0.33,0.96,1.4
2003-09-30,31.772,31.609,15.00258065,19.59133333,-1.078387097,5.785,0.33,0.96,1.4,0.6
2003-10-31,31.609,26.096,19.59133333,23.27709677,5.785,8.875806452,0.96,1.4,0.6,15.95
2003-11-30,26.096,87.812,23.27709677,23.23533333,8.875806452,9.896333333,1.4,0.6,15.95,2.98
2003-12-31,87.812,71.429,23.23533333,25.34903226,9.896333333,10.64096774,0.6,15.95,2.98,7.98
2004-01-31,71.429,112.309,25.34903226,24.55225806,10.64096774,11.85096774,15.95,2.98,7.98,26.95
2004-02-29,112.309,81.428,24.55225806,23.71551724,11.85096774,10.85931034,2.98,7.98,26.95,35.04
2004-03-31,81.428,118.085,23.71551724,21.18774194,10.85931034,9.634516129,7.98,26.95,35.04,11.31
2004-04-30,118.085,34.211,21.18774194,20.19466667,9.634516129,5.899666667,26.95,35.04,11.31,0.84
2004-05-31,34.211,1.734,20.19466667,18.16322581,5.899666667,3.015806452,35.04,11.31,0.84,0.47
2004-06-30,1.734,16.386,18.16322581,13.86233333,3.015806452,-0.520333333,11.31,0.84,0.47,0.7
2004-07-31,16.386,11.488,13.86233333,12.45612903,-0.520333333,-0.932258065,0.84,0.47,0.7,0.55
2004-08-31,11.488,17.681,12.45612903,17.60967742,-0.932258065,3.071935484,0.47,0.7,0.55,3.39
2004-09-30,17.681,54.739,17.60967742,17.833,3.071935484,3.360333333,0.7,0.55,3.39,4.47
2004-10-31,54.739,49.075,17.833,21.85419355,3.360333333,7.606129032,0.55,3.39,4.47,4.98
2004-11-30,49.075,87.321,21.85419355,24.229,7.606129032,10.04233333,3.39,4.47,4.98,29.82
